invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I105274,C447217,Female,48,Technology,4,4200,Credit Card,12-01-2023,Kanyon
I105277,C326782,Female,30,Clothing,4,1200.32,Cash,21-02-2023,Kanyon
I105278,C337774,Female,45,Toys,4,143.36,Credit Card,05-11-2021,Cevahir AVM
I105280,C119563,Female,59,Food & Beverage,1,5.23,Cash,26-05-2022,Kanyon
I105283,C399708,Male,19,Clothing,1,300.08,Cash,02-01-2021,Zorlu Center
I105284,C227861,Female,63,Food & Beverage,2,10.46,Cash,07-05-2021,Mall of Istanbul
I105285,C220743,Female,53,Books,3,45.45,Debit Card,19-01-2023,Mall of Istanbul
I105287,C170132,Male,52,Souvenir,4,46.92,Credit Card,03-04-2021,Zorlu Center
I105288,C205296,Female,26,Cosmetics,4,162.64,Cash,15-07-2022,Mall of Istanbul
I105289,C193694,Male,28,Clothing,1,300.08,Debit Card,01-09-2021,Cevahir AVM
I105292,C267600,Female,30,Food & Beverage,2,10.46,Cash,14-06-2022,Kanyon
I105294,C252584,Female,35,Books,5,75.75,Credit Card,05-02-2022,Istinye Park
I105298,C234285,Male,66,Food & Beverage,2,10.46,Cash,29-08-2022,Kanyon
I105300,C493743,Female,50,Cosmetics,5,203.3,Cash,09-01-2022,Mall of Istanbul
I105301,C252937,Male,18,Food & Beverage,3,15.69,Debit Card,03-02-2023,Metrocity
I105302,C708575,Male,64,Clothing,1,300.08,Credit Card,23-12-2022,Emaar Square Mall
I105308,C478486,Male,34,Clothing,5,1500.4,Cash,18-08-2022,Metrocity
I105311,C160587,Female,49,Shoes,4,2400.68,Cash,18-07-2022,Kanyon
I105313,C523317,Male,40,Cosmetics,1,40.66,Debit Card,04-05-2022,Metropol AVM
I105314,C305052,Female,68,Clothing,4,1200.32,Credit Card,26-08-2022,Kanyon
I105323,C295188,Male,65,Food & Beverage,5,26.15,Cash,25-03-2021,Metropol AVM
I105331,C495411,Female,63,Clothing,1,300.08,Cash,22-04-2021,Kanyon
I105334,C186325,Female,59,Shoes,4,2400.68,Cash,05-06-2022,Istinye Park
I105341,C326094,Female,56,Shoes,4,2400.68,Credit Card,24-12-2021,Metropol AVM
I105342,C264074,Female,63,Shoes,2,1200.34,Credit Card,18-01-2021,Viaport Outlet
I105346,C251291,Female,67,Souvenir,5,58.65,Cash,14-05-2022,Istinye Park
I105351,C160138,Female,48,Souvenir,5,58.65,Cash,09-07-2021,Istinye Park
I105352,C604615,Female,30,Shoes,1,600.17,Credit Card,13-03-2021,Kanyon
I105354,C576620,Female,21,Toys,1,35.84,Credit Card,17-01-2021,Mall of Istanbul
I105356,C237583,Female,52,Clothing,5,1500.4,Debit Card,14-07-2022,Mall of Istanbul
I105358,C221714,Male,39,Cosmetics,3,121.98,Cash,20-11-2022,Kanyon
I105378,C145483,Female,69,Clothing,5,1500.4,Cash,13-11-2021,Viaport Outlet
I105385,C373941,Female,48,Clothing,3,900.24,Cash,01-02-2022,Mall of Istanbul
I105390,C172213,Male,18,Food & Beverage,5,26.15,Credit Card,23-09-2021,Istinye Park
I105406,C205056,Male,59,Clothing,2,600.16,Credit Card,19-02-2023,Kanyon
I105417,C477937,Male,69,Shoes,3,1800.51,Credit Card,27-01-2021,Istinye Park
I105418,C178588,Male,51,Food & Beverage,4,20.92,Debit Card,30-06-2022,Metrocity
I105430,C219859,Female,46,Toys,3,107.52,Cash,03-10-2021,Cevahir AVM
I105433,C247709,Male,34,Books,5,75.75,Credit Card,23-04-2021,Mall of Istanbul
I105437,C846531,Male,44,Souvenir,3,35.19,Credit Card,13-06-2021,Forum Istanbul
I105444,C260392,Male,68,Clothing,3,900.24,Debit Card,05-08-2022,Viaport Outlet
I105445,C519851,Female,22,Food & Beverage,4,20.92,Credit Card,14-09-2021,Metropol AVM
I105446,C828710,Female,56,Cosmetics,1,40.66,Cash,25-04-2021,Zorlu Center
I105450,C181333,Male,68,Food & Beverage,1,5.23,Credit Card,02-04-2022,Cevahir AVM
I105453,C581131,Male,60,Cosmetics,4,162.64,Credit Card,24-09-2022,Kanyon
I105454,C556307,Female,51,Clothing,1,300.08,Debit Card,11-05-2021,Kanyon
I105460,C174493,Female,43,Food & Beverage,4,20.92,Cash,03-04-2022,Cevahir AVM
I105461,C152507,Female,60,Clothing,2,600.16,Cash,17-07-2021,Mall of Istanbul
I105463,C277273,Male,45,Cosmetics,1,40.66,Cash,28-06-2021,Metrocity
I105464,C859508,Female,40,Souvenir,4,46.92,Credit Card,24-06-2021,Kanyon
I105471,C184242,Female,45,Food & Beverage,1,5.23,Debit Card,29-10-2022,Mall of Istanbul
I105479,C302017,Male,41,Cosmetics,2,81.32,Cash,05-01-2023,Istinye Park
I105481,C989812,Male,36,Food & Beverage,5,26.15,Credit Card,13-10-2022,Metrocity
I105482,C129846,Male,18,Clothing,5,1500.4,Cash,17-08-2021,Mall of Istanbul
I105485,C206872,Female,30,Books,2,30.3,Cash,10-01-2021,Mall of Istanbul
I105486,C174056,Male,58,Cosmetics,5,203.3,Cash,26-03-2021,Metrocity
I105488,C192163,Female,69,Books,4,60.6,Cash,13-09-2022,Mall of Istanbul
I105490,C148313,Male,44,Clothing,2,600.16,Debit Card,01-09-2022,Kanyon
I105492,C748681,Male,28,Cosmetics,4,162.64,Cash,09-10-2021,Metrocity
I105495,C918164,Female,28,Cosmetics,3,121.98,Cash,02-10-2021,Istinye Park
I105502,C205049,Male,59,Clothing,5,1500.4,Debit Card,19-09-2021,Istinye Park
I105504,C274247,Male,50,Toys,1,35.84,Cash,26-01-2022,Metrocity
I105505,C741905,Male,61,Clothing,2,600.16,Credit Card,15-11-2022,Kanyon
I105508,C267202,Male,37,Shoes,5,3000.85,Debit Card,30-05-2021,Metrocity
I105511,C200806,Male,18,Clothing,4,1200.32,Debit Card,09-08-2021,Kanyon
I105514,C134817,Female,66,Toys,2,71.68,Cash,08-07-2022,Kanyon
I105515,C281306,Female,24,Cosmetics,3,121.98,Credit Card,02-12-2021,Metrocity
I105518,C216087,Female,46,Food & Beverage,4,20.92,Debit Card,10-12-2022,Mall of Istanbul
I105524,C232011,Female,21,Food & Beverage,1,5.23,Debit Card,24-08-2022,Kanyon
I105530,C111366,Female,62,Cosmetics,3,121.98,Cash,11-05-2022,Kanyon
I105531,C322158,Female,32,Toys,4,143.36,Cash,05-03-2023,Cevahir AVM
I105533,C916248,Female,18,Food & Beverage,1,5.23,Cash,23-10-2022,Kanyon
I105535,C302977,Female,22,Clothing,1,300.08,Cash,11-02-2023,Metropol AVM
I105537,C122534,Female,33,Toys,1,35.84,Debit Card,01-12-2022,Mall of Istanbul
I105546,C135694,Female,30,Food & Beverage,5,26.15,Cash,01-10-2021,Metropol AVM
I105548,C276902,Female,43,Food & Beverage,2,10.46,Credit Card,10-12-2022,Metropol AVM
I105553,C739533,Female,36,Books,5,75.75,Cash,27-05-2021,Metropol AVM
I105559,C337624,Female,50,Clothing,1,300.08,Credit Card,21-09-2021,Zorlu Center
I105561,C959220,Female,21,Souvenir,5,58.65,Credit Card,07-03-2023,Istinye Park
I105564,C192981,Female,41,Clothing,1,300.08,Cash,11-07-2022,Kanyon
I105567,C300954,Female,26,Clothing,1,300.08,Credit Card,06-06-2022,Kanyon
I105569,C898154,Female,40,Clothing,4,1200.32,Credit Card,22-07-2022,Mall of Istanbul
I105577,C378595,Female,22,Shoes,3,1800.51,Cash,27-12-2022,Emaar Square Mall
I105578,C455526,Female,60,Clothing,4,1200.32,Cash,26-04-2022,Metropol AVM
I105579,C274672,Female,32,Cosmetics,2,81.32,Debit Card,20-03-2021,Metrocity
I105582,C275474,Female,27,Cosmetics,3,121.98,Debit Card,26-09-2022,Mall of Istanbul
I105585,C261581,Female,25,Clothing,1,300.08,Debit Card,14-03-2021,Mall of Istanbul
I105591,C307905,Female,49,Technology,4,4200,Credit Card,23-10-2021,Metropol AVM
I105592,C163399,Male,34,Shoes,2,1200.34,Credit Card,17-07-2022,Kanyon
I105595,C150785,Female,36,Souvenir,2,23.46,Credit Card,03-04-2022,Mall of Istanbul
I105599,C196687,Female,36,Clothing,4,1200.32,Cash,03-01-2022,Istinye Park
I105603,C147305,Male,38,Toys,1,35.84,Cash,19-06-2021,Metrocity
I105608,C120193,Male,42,Food & Beverage,1,5.23,Credit Card,24-08-2022,Kanyon
I105609,C884982,Female,68,Clothing,5,1500.4,Cash,27-09-2022,Metropol AVM
I105617,C296235,Female,64,Clothing,2,600.16,Credit Card,24-02-2021,Metrocity
I105619,C807752,Male,46,Souvenir,2,23.46,Credit Card,13-01-2022,Mall of Istanbul
I105620,C187853,Female,51,Shoes,4,2400.68,Cash,12-06-2021,Mall of Istanbul
I105621,C180282,Female,19,Clothing,1,300.08,Cash,31-10-2021,Mall of Istanbul
I105624,C212802,Female,23,Toys,5,179.2,Cash,07-04-2021,Cevahir AVM
I105626,C134354,Female,49,Toys,2,71.68,Credit Card,08-06-2021,Forum Istanbul
I105628,C790683,Male,68,Cosmetics,4,162.64,Cash,25-01-2023,Kanyon
I105631,C151679,Female,24,Clothing,5,1500.4,Cash,07-10-2021,Kanyon
I105633,C265818,Female,46,Clothing,4,1200.32,Debit Card,12-07-2021,Mall of Istanbul
I105637,C321325,Male,19,Toys,4,143.36,Cash,05-01-2023,Mall of Istanbul
I105641,C270742,Female,40,Food & Beverage,4,20.92,Credit Card,15-07-2021,Kanyon
I105642,C194681,Female,66,Food & Beverage,1,5.23,Cash,26-05-2022,Mall of Istanbul
I105647,C357195,Female,34,Books,2,30.3,Credit Card,24-02-2022,Mall of Istanbul
I105649,C774747,Female,47,Food & Beverage,2,10.46,Credit Card,06-05-2022,Kanyon
I105650,C262636,Female,20,Books,2,30.3,Credit Card,12-09-2022,Mall of Istanbul
I105651,C324398,Female,25,Clothing,3,900.24,Credit Card,09-02-2023,Metrocity
I105653,C389561,Male,57,Cosmetics,3,121.98,Credit Card,03-01-2021,Mall of Istanbul
I105654,C227568,Female,68,Clothing,5,1500.4,Credit Card,31-01-2023,Kanyon
I105655,C148051,Male,61,Cosmetics,4,162.64,Credit Card,17-11-2021,Istinye Park
I105663,C359926,Female,50,Toys,3,107.52,Credit Card,06-09-2021,Istinye Park
I105665,C288157,Male,32,Clothing,5,1500.4,Credit Card,26-08-2021,Zorlu Center
I105667,C210430,Female,55,Clothing,3,900.24,Cash,11-09-2021,Metrocity
I105668,C336617,Male,61,Clothing,5,1500.4,Credit Card,01-08-2022,Metropol AVM
I105671,C244514,Male,21,Technology,5,5250,Credit Card,11-10-2022,Metrocity
I105675,C106128,Male,49,Clothing,5,1500.4,Cash,28-03-2021,Mall of Istanbul
I105676,C257220,Female,33,Clothing,5,1500.4,Cash,06-10-2022,Mall of Istanbul
I105679,C106921,Female,63,Souvenir,2,23.46,Debit Card,21-12-2022,Mall of Istanbul
I105681,C146657,Male,39,Books,2,30.3,Cash,06-02-2022,Cevahir AVM
I105683,C245051,Male,42,Clothing,3,900.24,Cash,01-12-2021,Kanyon
I105685,C898125,Female,46,Food & Beverage,4,20.92,Cash,23-01-2021,Mall of Istanbul
I105687,C217178,Female,47,Toys,1,35.84,Credit Card,18-04-2021,Mall of Istanbul
I105689,C203190,Female,34,Cosmetics,2,81.32,Credit Card,15-06-2022,Forum Istanbul
I105690,C198888,Female,31,Clothing,4,1200.32,Cash,01-06-2021,Kanyon
I105692,C111198,Female,43,Technology,3,3150,Credit Card,23-01-2023,Metropol AVM
I105693,C139896,Female,38,Souvenir,5,58.65,Credit Card,13-05-2021,Metrocity
I105698,C729207,Male,28,Clothing,2,600.16,Debit Card,27-12-2021,Zorlu Center
I105700,C287938,Male,65,Clothing,3,900.24,Debit Card,04-08-2021,Kanyon
I105708,C128306,Female,20,Souvenir,4,46.92,Credit Card,12-10-2021,Mall of Istanbul
I105709,C256895,Male,26,Clothing,3,900.24,Cash,09-07-2022,Emaar Square Mall
I105719,C522782,Female,60,Cosmetics,2,81.32,Credit Card,26-07-2021,Metrocity
I105721,C318000,Male,42,Clothing,4,1200.32,Credit Card,13-01-2023,Kanyon
I105726,C362981,Male,36,Toys,3,107.52,Credit Card,14-12-2022,Viaport Outlet
I105730,C363373,Male,43,Clothing,2,600.16,Cash,27-09-2022,Forum Istanbul
I105734,C276743,Female,32,Shoes,5,3000.85,Cash,25-09-2021,Kanyon
I105737,C185501,Female,18,Books,2,30.3,Cash,02-12-2022,Mall of Istanbul
I105739,C728608,Male,37,Technology,3,3150,Cash,18-02-2023,Kanyon
I105742,C137456,Male,38,Shoes,5,3000.85,Cash,06-04-2021,Metropol AVM
I105746,C892546,Male,21,Toys,4,143.36,Credit Card,30-07-2021,Kanyon
I105751,C627764,Female,29,Clothing,1,300.08,Credit Card,28-12-2022,Viaport Outlet
I105757,C943779,Female,37,Clothing,3,900.24,Cash,09-03-2021,Istinye Park
I105759,C237784,Female,34,Clothing,5,1500.4,Debit Card,07-03-2022,Metropol AVM
I105760,C276089,Female,22,Cosmetics,4,162.64,Credit Card,01-02-2021,Mall of Istanbul
I105761,C277263,Male,56,Technology,5,5250,Credit Card,04-12-2022,Cevahir AVM
I105769,C239288,Female,49,Clothing,3,900.24,Credit Card,14-02-2022,Forum Istanbul
I105770,C254665,Male,55,Clothing,3,900.24,Cash,05-11-2022,Mall of Istanbul
I105778,C133473,Male,33,Toys,3,107.52,Cash,08-06-2022,Emaar Square Mall
I105779,C935433,Male,42,Food & Beverage,4,20.92,Credit Card,24-10-2021,Istinye Park
I105780,C711792,Male,26,Shoes,3,1800.51,Debit Card,24-01-2022,Metrocity
I105784,C234388,Male,28,Clothing,3,900.24,Credit Card,18-06-2021,Metropol AVM
I105785,C202010,Male,36,Shoes,3,1800.51,Credit Card,04-02-2023,Metrocity
I105787,C669959,Male,60,Clothing,4,1200.32,Debit Card,23-01-2023,Emaar Square Mall
I105788,C613597,Male,25,Books,4,60.6,Cash,10-06-2021,Zorlu Center
I105798,C288606,Male,53,Technology,1,1050,Credit Card,18-02-2021,Kanyon
I105800,C199122,Male,36,Cosmetics,2,81.32,Cash,04-05-2021,Kanyon
I105802,C599466,Male,41,Souvenir,5,58.65,Cash,22-03-2022,Kanyon
I105804,C916796,Female,47,Clothing,2,600.16,Cash,27-08-2021,Metrocity
I105807,C228321,Female,53,Food & Beverage,3,15.69,Cash,03-09-2021,Metrocity
I105810,C290571,Male,41,Clothing,5,1500.4,Cash,19-07-2022,Metrocity
I105813,C500308,Female,55,Toys,1,35.84,Debit Card,07-04-2021,Metrocity
I105814,C249793,Female,36,Toys,4,143.36,Debit Card,19-11-2022,Mall of Istanbul
I105818,C149131,Male,31,Cosmetics,1,40.66,Credit Card,18-09-2022,Istinye Park
I105821,C342143,Female,39,Technology,3,3150,Debit Card,04-08-2022,Istinye Park
I105825,C952957,Female,52,Shoes,1,600.17,Cash,28-06-2021,Metropol AVM
I105833,C757474,Male,24,Food & Beverage,4,20.92,Credit Card,02-06-2021,Viaport Outlet
I105838,C234990,Female,35,Clothing,5,1500.4,Cash,12-06-2021,Emaar Square Mall
I105840,C202425,Male,31,Shoes,2,1200.34,Cash,02-11-2021,Istinye Park
I105842,C293850,Female,45,Books,3,45.45,Debit Card,15-12-2022,Istinye Park
I105844,C837874,Male,37,Clothing,5,1500.4,Cash,27-12-2021,Mall of Istanbul
I105856,C234603,Male,32,Cosmetics,1,40.66,Cash,03-11-2021,Kanyon
I105862,C612444,Male,52,Clothing,3,900.24,Cash,21-01-2022,Viaport Outlet
I105865,C448331,Male,35,Food & Beverage,3,15.69,Cash,26-06-2021,Zorlu Center
I105867,C337927,Female,64,Food & Beverage,2,10.46,Credit Card,07-08-2022,Kanyon
I105869,C295399,Female,58,Cosmetics,3,121.98,Cash,09-09-2022,Metrocity
I105876,C155339,Female,38,Technology,4,4200,Debit Card,14-10-2022,Mall of Istanbul
I105881,C539036,Female,42,Food & Beverage,5,26.15,Cash,27-07-2022,Kanyon
I105882,C409502,Male,37,Souvenir,2,23.46,Debit Card,20-06-2021,Kanyon
I105888,C164074,Female,44,Shoes,4,2400.68,Debit Card,24-01-2021,Kanyon
I105890,C176658,Male,47,Clothing,4,1200.32,Cash,02-07-2021,Kanyon
I105891,C146272,Female,39,Cosmetics,1,40.66,Credit Card,03-09-2021,Zorlu Center
I105895,C190279,Female,25,Technology,4,4200,Debit Card,18-02-2022,Istinye Park
I105900,C260700,Male,21,Shoes,5,3000.85,Cash,23-07-2021,Metrocity
I105901,C165346,Male,29,Clothing,4,1200.32,Cash,28-11-2022,Zorlu Center
I105902,C258790,Female,45,Cosmetics,1,40.66,Credit Card,04-08-2021,Emaar Square Mall
I105905,C260412,Female,29,Cosmetics,2,81.32,Debit Card,23-04-2022,Emaar Square Mall
I105907,C124256,Female,58,Shoes,1,600.17,Cash,09-09-2021,Mall of Istanbul
I105910,C124984,Male,63,Clothing,3,900.24,Debit Card,20-03-2022,Metrocity
I105912,C255379,Male,29,Shoes,4,2400.68,Cash,22-10-2021,Metropol AVM
I105918,C223745,Female,68,Clothing,5,1500.4,Cash,13-10-2022,Mall of Istanbul
I105919,C311655,Female,61,Cosmetics,5,203.3,Cash,26-12-2021,Metropol AVM
I105921,C311055,Female,63,Clothing,4,1200.32,Credit Card,02-01-2023,Metropol AVM
I105922,C243085,Male,69,Clothing,1,300.08,Debit Card,13-08-2021,Istinye Park
I105923,C252614,Male,22,Clothing,3,900.24,Debit Card,29-10-2021,Forum Istanbul
I105935,C479877,Male,38,Food & Beverage,3,15.69,Cash,19-08-2021,Kanyon
I105937,C212434,Female,69,Books,5,75.75,Debit Card,13-09-2021,Kanyon
I105941,C242784,Female,19,Clothing,2,600.16,Cash,31-01-2023,Mall of Istanbul
I105943,C162674,Male,31,Shoes,4,2400.68,Cash,20-03-2021,Kanyon
I105945,C144301,Female,65,Food & Beverage,3,15.69,Debit Card,31-01-2021,Metrocity
I105947,C151620,Female,39,Food & Beverage,5,26.15,Credit Card,05-01-2021,Mall of Istanbul
I105948,C351241,Male,66,Clothing,3,900.24,Credit Card,17-10-2022,Cevahir AVM
I105949,C206214,Female,63,Clothing,3,900.24,Cash,22-11-2022,Metrocity
I105950,C157585,Male,46,Clothing,2,600.16,Debit Card,17-03-2021,Viaport Outlet
I105952,C107596,Female,32,Clothing,1,300.08,Cash,24-02-2023,Istinye Park
I105953,C166962,Female,38,Cosmetics,2,81.32,Cash,25-08-2022,Kanyon
I105956,C330252,Male,37,Cosmetics,5,203.3,Cash,31-12-2021,Kanyon
I105958,C226168,Male,55,Clothing,3,900.24,Debit Card,27-10-2022,Forum Istanbul
I105959,C131810,Female,45,Clothing,4,1200.32,Debit Card,01-02-2021,Istinye Park
I105961,C146396,Female,35,Technology,2,2100,Debit Card,23-05-2021,Metrocity
I105962,C685468,Male,43,Clothing,4,1200.32,Credit Card,26-01-2022,Istinye Park
I105963,C620854,Female,66,Food & Beverage,1,5.23,Credit Card,05-07-2021,Kanyon
I105968,C219966,Female,29,Cosmetics,5,203.3,Cash,28-08-2022,Viaport Outlet
I105973,C659791,Female,39,Clothing,2,600.16,Cash,20-08-2022,Mall of Istanbul
I105974,C295307,Male,24,Souvenir,1,11.73,Credit Card,23-10-2021,Kanyon
I105983,C276090,Male,24,Toys,3,107.52,Credit Card,20-05-2021,Kanyon
I105990,C304544,Male,45,Clothing,3,900.24,Cash,10-02-2021,Mall of Istanbul
I105994,C312942,Male,43,Technology,5,5250,Credit Card,26-07-2022,Kanyon
I105996,C152605,Male,49,Toys,1,35.84,Credit Card,30-04-2022,Mall of Istanbul
I106000,C259021,Male,69,Cosmetics,2,81.32,Cash,07-08-2022,Mall of Istanbul
I106008,C228755,Female,46,Toys,2,71.68,Debit Card,15-05-2021,Zorlu Center
I106009,C592582,Male,26,Food & Beverage,4,20.92,Credit Card,14-03-2022,Mall of Istanbul
I106013,C272202,Female,61,Food & Beverage,1,5.23,Credit Card,01-01-2022,Mall of Istanbul
I106014,C813135,Female,38,Cosmetics,5,203.3,Debit Card,22-04-2021,Mall of Istanbul
I106024,C327537,Male,45,Toys,2,71.68,Credit Card,19-11-2022,Metropol AVM
I106027,C308047,Female,42,Clothing,5,1500.4,Cash,17-09-2021,Viaport Outlet
I106028,C266817,Female,55,Books,1,15.15,Debit Card,07-03-2022,Forum Istanbul
I106031,C329765,Female,56,Clothing,1,300.08,Debit Card,03-04-2022,Metropol AVM
I106040,C202389,Male,51,Cosmetics,5,203.3,Debit Card,12-01-2022,Kanyon
I106047,C121469,Male,40,Cosmetics,4,162.64,Credit Card,27-06-2021,Viaport Outlet
I106049,C177444,Female,42,Clothing,3,900.24,Cash,09-01-2021,Metrocity
I106050,C318366,Female,60,Technology,1,1050,Debit Card,07-10-2021,Mall of Istanbul
I106058,C166433,Male,26,Food & Beverage,3,15.69,Debit Card,04-11-2022,Kanyon
I106060,C564791,Male,20,Toys,5,179.2,Cash,27-02-2022,Zorlu Center
I106061,C101576,Male,41,Clothing,2,600.16,Cash,02-04-2022,Kanyon
I106067,C253287,Male,44,Technology,4,4200,Debit Card,02-02-2023,Kanyon
I106077,C258524,Female,65,Books,5,75.75,Credit Card,13-02-2021,Viaport Outlet
I106078,C203762,Male,28,Souvenir,1,11.73,Cash,20-12-2021,Mall of Istanbul
I106079,C326322,Male,43,Shoes,3,1800.51,Credit Card,05-01-2021,Mall of Istanbul
I106085,C585737,Male,49,Clothing,1,300.08,Credit Card,31-03-2022,Cevahir AVM
I106086,C295681,Female,31,Technology,3,3150,Credit Card,08-03-2023,Istinye Park
I106088,C898942,Female,24,Technology,5,5250,Debit Card,20-02-2021,Istinye Park
I106089,C132116,Female,39,Food & Beverage,5,26.15,Credit Card,19-03-2021,Metrocity
I106097,C220398,Female,50,Food & Beverage,3,15.69,Credit Card,17-04-2021,Kanyon
I106098,C103065,Female,61,Clothing,2,600.16,Debit Card,11-02-2021,Mall of Istanbul
I106099,C175658,Male,43,Technology,3,3150,Debit Card,01-03-2023,Kanyon
I106101,C248355,Male,50,Food & Beverage,3,15.69,Cash,18-10-2021,Forum Istanbul
I106105,C203031,Female,38,Clothing,5,1500.4,Debit Card,03-11-2022,Metrocity
I106106,C323278,Male,64,Food & Beverage,2,10.46,Cash,09-10-2021,Metropol AVM
I106112,C231435,Female,18,Clothing,3,900.24,Cash,17-09-2022,Istinye Park
I106114,C373230,Female,56,Clothing,4,1200.32,Cash,22-03-2022,Emaar Square Mall
I106119,C228455,Female,34,Clothing,5,1500.4,Cash,24-05-2021,Metrocity
I106120,C181123,Female,61,Toys,5,179.2,Debit Card,11-04-2021,Metrocity
I106126,C132412,Male,68,Food & Beverage,3,15.69,Debit Card,16-02-2021,Kanyon
I106128,C337031,Female,58,Clothing,3,900.24,Credit Card,12-08-2021,Metropol AVM
I106134,C307906,Female,49,Cosmetics,2,81.32,Debit Card,18-05-2022,Mall of Istanbul
I106135,C165850,Male,38,Clothing,4,1200.32,Cash,10-02-2021,Cevahir AVM
I106137,C739871,Male,59,Clothing,3,900.24,Cash,20-07-2021,Mall of Istanbul
I106139,C226135,Male,22,Cosmetics,5,203.3,Credit Card,19-05-2022,Cevahir AVM
I106144,C187485,Female,45,Food & Beverage,3,15.69,Debit Card,14-12-2022,Metrocity
I106145,C172603,Male,53,Souvenir,3,35.19,Cash,11-11-2022,Viaport Outlet
I106149,C106444,Male,48,Toys,3,107.52,Cash,01-03-2021,Cevahir AVM
I106151,C212604,Male,37,Cosmetics,1,40.66,Credit Card,21-10-2022,Forum Istanbul
I106152,C311802,Male,29,Cosmetics,4,162.64,Cash,21-12-2022,Metrocity
I106153,C258017,Male,43,Cosmetics,4,162.64,Debit Card,18-07-2021,Metrocity
I106161,C615924,Female,54,Shoes,4,2400.68,Cash,05-08-2022,Cevahir AVM
I106163,C820472,Female,68,Food & Beverage,3,15.69,Cash,04-08-2022,Metrocity
I106165,C239381,Female,65,Clothing,1,300.08,Cash,28-12-2021,Istinye Park
I106170,C227917,Male,36,Food & Beverage,5,26.15,Credit Card,17-01-2023,Forum Istanbul
I106173,C199080,Female,52,Clothing,4,1200.32,Cash,18-08-2021,Metrocity
I106174,C210991,Male,61,Food & Beverage,5,26.15,Credit Card,24-06-2021,Mall of Istanbul
I106175,C187389,Male,68,Books,3,45.45,Cash,21-01-2021,Kanyon
I106176,C224046,Female,39,Souvenir,4,46.92,Credit Card,17-08-2022,Metropol AVM
I106177,C548607,Female,23,Shoes,2,1200.34,Cash,14-08-2022,Zorlu Center
I106182,C329095,Female,40,Shoes,5,3000.85,Credit Card,26-07-2022,Mall of Istanbul
I106190,C256810,Male,22,Clothing,4,1200.32,Credit Card,06-07-2021,Kanyon
I106192,C331850,Female,69,Food & Beverage,2,10.46,Credit Card,20-09-2022,Emaar Square Mall
I106195,C818037,Female,69,Clothing,1,300.08,Credit Card,25-08-2022,Mall of Istanbul
I106198,C319690,Female,67,Toys,5,179.2,Cash,06-05-2021,Mall of Istanbul
I106200,C306213,Female,64,Cosmetics,3,121.98,Cash,28-06-2021,Mall of Istanbul
I106207,C346604,Female,18,Clothing,5,1500.4,Cash,09-02-2023,Mall of Istanbul
I106214,C327145,Female,56,Clothing,4,1200.32,Credit Card,13-05-2022,Metrocity
I106215,C171626,Female,44,Shoes,3,1800.51,Debit Card,01-03-2021,Mall of Istanbul
I106219,C394626,Male,44,Clothing,1,300.08,Credit Card,20-12-2021,Cevahir AVM
I106220,C958121,Male,68,Clothing,2,600.16,Cash,28-07-2022,Mall of Istanbul
I106223,C185740,Female,49,Shoes,1,600.17,Cash,09-06-2021,Zorlu Center
I106224,C103574,Male,67,Toys,3,107.52,Credit Card,29-11-2021,Cevahir AVM
I106225,C743524,Female,36,Clothing,5,1500.4,Debit Card,05-03-2023,Metrocity
I106226,C114563,Female,51,Clothing,1,300.08,Credit Card,14-02-2021,Metrocity
I106229,C176255,Female,57,Toys,3,107.52,Debit Card,18-10-2021,Metropol AVM
I106232,C256769,Female,66,Books,5,75.75,Cash,04-02-2023,Viaport Outlet
I106233,C178585,Female,39,Clothing,5,1500.4,Debit Card,20-12-2022,Metrocity
I106234,C162611,Male,34,Toys,1,35.84,Debit Card,15-07-2021,Istinye Park
I106240,C235783,Female,58,Clothing,2,600.16,Credit Card,01-05-2021,Metropol AVM
I106243,C151776,Female,51,Technology,4,4200,Cash,01-10-2022,Mall of Istanbul
I106245,C320595,Female,58,Books,2,30.3,Cash,29-09-2021,Kanyon
I106251,C147515,Female,48,Food & Beverage,2,10.46,Cash,20-09-2021,Metrocity
I106252,C305330,Female,69,Shoes,1,600.17,Debit Card,21-12-2022,Istinye Park
I106261,C235978,Female,64,Cosmetics,5,203.3,Debit Card,16-10-2021,Forum Istanbul
I106263,C217116,Female,37,Clothing,2,600.16,Credit Card,04-11-2022,Metropol AVM
I106269,C105830,Male,48,Clothing,4,1200.32,Credit Card,14-12-2022,Istinye Park
I106271,C263812,Male,31,Clothing,1,300.08,Debit Card,22-12-2022,Mall of Istanbul
I106272,C556609,Female,23,Food & Beverage,1,5.23,Credit Card,17-05-2022,Kanyon
I106278,C280186,Female,59,Clothing,5,1500.4,Credit Card,19-12-2021,Kanyon
I106281,C162511,Male,32,Food & Beverage,4,20.92,Credit Card,22-11-2022,Mall of Istanbul
I106284,C496705,Male,51,Clothing,2,600.16,Cash,23-03-2021,Metropol AVM
I106285,C173931,Female,32,Cosmetics,1,40.66,Cash,29-04-2022,Kanyon
I106288,C137761,Male,25,Food & Beverage,5,26.15,Debit Card,04-11-2021,Kanyon
I106292,C241774,Male,29,Food & Beverage,2,10.46,Cash,05-09-2021,Mall of Istanbul
I106293,C134819,Female,54,Toys,3,107.52,Credit Card,28-10-2021,Metrocity
I106295,C158264,Male,62,Food & Beverage,2,10.46,Debit Card,06-07-2022,Mall of Istanbul
